EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
813296317,ELIJA FARM INC,% DEBORA THIVIERGE,11 LAUREL LANE,LEVITTOWN,NY,11756-3134,0000,03,3,1200,201611,1,16,000000000,1,01,202406,6,5,01,0,06,3286205,593238,593238,F30,
813296560,HOPE CENTER OF LEROY INC,% WILLIAM FRIEDMAN,42 MAIN ST,LE ROY,NY,14482-1443,0000,03,3,1000,201608,1,15,000000000,1,01,202312,3,4,01,0,12,29763,110402,107728,P30,
813296762,ERIE COUNTY RESTORATIVE JUSTICE COALITION INC,,567 HERTEL AVE,BUFFALO,NY,14207-2316,0000,03,3,1200,201610,1,16,000000000,1,01,202312,4,5,01,0,12,326942,816546,816546,S20,
813298688,HOOKS FOR HEROES,,PO BOX 176,ISLAND PARK,NY,11558-0176,0000,03,3,1000,201703,1,16,000000000,1,01,202412,4,4,01,0,12,214092,375949,375949,P20,
813299580,PEEKSKILL HISPANIC COMMUNITY CORP,% DINORA PACHECO,PO BOX 296,PEEKSKILL,NY,10566-0296,0000,03,3,1000,202203,1,16,000000000,1,01,202312,1,3,01,0,12,623,71999,71999,P01,
813300405,PERCY GRAINGER AMERICA INC,% STEWART MANVILLE,7 CROMWELL PL,WHITE PLAINS,NY,10601-5005,0000,03,3,1230,201607,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,A54,
813300993,BLACK AMERICA PROJECT INC,% VI-ANNE ANTRUM,14 HEMLOCK LN,AMHERST,NY,14226-2340,0000,03,3,1000,201607,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,R99,
813301812,HQ TENNIS FOUNDATION INC,% FRANCES FERDINAND,1035 CLARKSON AVE APT 7L,BROOKLYN,NY,11212-1411,0000,03,3,1200,201705,1,15,000000000,1,01,202412,1,1,02,0,12,1,9441,9441,N66,
813301824,KEYS TO THE KINGDOM COMMUNITY CHURCH,% JOSE ANEUDI ESCUDERO,2330 QUIMBY AVE,BRONX,NY,10473-1116,0000,03,3,1270,201907,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
813302764,PROSPECT LEFFERTS GARDENS HERITAGE COUNCIL INC,,253 FENIMORE ST,BROOKLYN,NY,11225-5369,0000,03,3,1000,201609,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,S20,
