EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
137241416,BHWC EDUCATIONAL & CHARITABLE TR,% JOANNE ROSAMOND,20 SUNSET DR,BEDFORD HILLS,NY,10507-1818,0000,03,3,1200,200006,1,15,000000000,2,01,202306,0,0,02,0,06,0,0,0,B82,GRANIERO MARY TTEE
137246627,SIAT FOUNDATION,% JONATHAN STERNBERG,2431 HEALY AVE,FAR ROCKAWAY,NY,11691-1830,0000,03,3,1000,200104,1,04,000000000,1,01,202411,1,1,00,1,11,158,1,,T31,
137252069,ANNA SOSENKO ASSIST TRUST,,59 JOHN ST APT 9B,NEW YORK,NY,10038-3749,0000,03,3,2000,200205,1,03,000000000,2,01,202412,4,4,00,1,12,473267,103357,,A12,
137252339,THE SERIO FOUNDATION,% HOWE & ADDINGTON LLP,PO BOX 128,QUOGUE,NY,11959-0128,0000,03,3,1000,200101,1,04,000000000,2,01,202312,3,3,00,1,12,55338,56750,,T21,
137257019,JOHN CALHOUN BAKER CHARITABLE TR,% ANNE BAKER,60 RIVERSIDE DR PH C,NEW YORK,NY,10024-6172,0000,03,3,1000,200012,1,04,000000000,2,01,202405,6,4,00,1,05,2084710,214562,,Q41,BAKER ANNE TTEE
137257954,CASDIN FAM FOUNDATION TR,% RESNICK VERGOS LLC,C/O RESNICK VERGOS-363 7AVE 13TH F,NEW YORK,NY,10001-0000,0000,03,3,1000,200112,1,04,000000000,2,01,202312,4,1,00,1,12,130522,299,,T21,CASDIN SHARON ET AL TTEE
137257956,DEBBIE & RICHARD A WILPON FOUNDATION,% STERLING EQUITIES INC,111 GREAT NECK RD STE 408,GREAT NECK,NY,11021-5404,0000,03,3,1000,200203,1,04,000000000,2,01,202412,2,1,00,1,12,15027,1,,T21,WILPON RICHARD A ET AL TTEE
137260354,DONALD AND CATHERINE MARRON CHARITABLE TRUST,% ANTHONY PERSICO,595 MADISON AVE,NEW YORK,NY,10022-1907,0000,03,3,1000,200104,1,04,000000000,2,01,202412,7,6,00,1,12,6896768,2062607,,T22,MARRON DONALD B TTEE
137265141,G&E DUBIN FAM FOUNDATION TR,% DUBIN,450 PARK AVE 25TH FLOOR,NEW YORK,NY,10022-2605,0000,03,3,1000,200205,0,04,000000000,2,01,202312,9,6,00,1,12,56920563,3429957,,T20,DUBIN GLENN ET AL TTEE
137265424,FRIENDS OF YESHIVAT NIR KIRYAT ARBA,% MAX WASSER,39 BROADWAY RM 640,NEW YORK,NY,10006-3000,0000,03,3,7000,200108,1,15,000000000,1,01,202401,3,4,01,0,01,85083,136080,136080,X30,
