EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
863303578,MISS RODEO NEW YORK SCHOLARSHIP FOUNDATION,% MICHAEL C DELROSARIO,1419 STATE ROUTE 10,JEFFERSON,NY,12093-3902,0000,03,3,2000,202107,1,04,000000000,5,01,202312,1,1,00,1,12,7500,8709,,B82,
863304428,SONS OF LIBERTY MC NEW YORK,% FRANK YOUNG,1861 FACTORY HOLLOW RD,LIMA,NY,14485-9301,0000,03,3,1000,202205,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,N50,
863307113,DEARCHILDREN,% ABRIELLE,2143 E 14TH ST,BROOKLYN,NY,11229-4324,0000,03,3,1200,202108,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,B80,
863307336,BG SUTPHIN HOUSING DEVELOPMENT FUND CORPORATION,,505 EIGHTH AVENUE,NEW YORK,NY,10018-6505,0000,04,3,3000,202202,1,00,000000000,1,01,202412,0,0,02,0,12,0,0,0,L20,
863308171,CAPITAL DISTRICT AURORA FOUNDATION,,PO BOX 3835,ALBANY,NY,12203-0835,0000,03,3,1000,202108,1,16,000000000,1,01,202406,0,0,02,0,06,0,0,0,T50,
863310426,PORYALMA INC,,812 E 219TH ST APT 3,BRONX,NY,10467-2242,0000,03,3,1000,202109,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,A12,
863311833,EMPOWERINGSCIENCE INC,% WILLIAM BANKO,3 MACDONALD AVE,ARMONK,NY,10504-1935,0000,03,3,1200,202108,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,U20,
863313659,ASIAN AMERICAN COLLECTIVE INC,% GRACE LEE,27 W 72ND ST APT 810,NEW YORK,NY,10023-3498,0000,03,3,1200,202108,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,,
863315722,PROPHETIC WHIRLWIND MINISTRIES,,226 W 140TH ST APT 1C,NEW YORK,NY,10030-3402,0000,03,3,1237,202202,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,X80,PROPHETIC WHIRLWIND
863319077,DASHAN J BRIGGS MEMORIAL FOUNDATION INC,% REBECCA BRIGGS,18 KING ST,PORT JEFF STA,NY,11776-4008,0000,03,3,1000,202112,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,O12,
863320209,HEALTHY BANGLADESH USA INC,,16701 HILLSIDE AVE,JAMAICA,NY,11432-4289,0000,03,3,1000,202112,1,15,000000000,1,01,202412,3,4,01,0,12,54250,195250,195250,E99,
863323039,GRACE THE ARTS,% JUDY BRONDON,86 ASHFORD CIR,ROCHESTER,NY,14626-5221,0000,03,3,2000,202112,1,04,000000000,1,01,202312,1,2,00,1,12,7724,22873,,B82,
863323126,MUNA ACADEMY INC,% MD D HOSSAIN,1033 GLENMORE AVE STE 4TH FL,BROOKLYN,NY,11208-2836,0000,03,3,2700,202303,1,15,000000000,1,01,202412,3,4,01,0,12,41534,145646,145646,X40,
863326837,SUFFOLK COUNTY DSA INC,,PO BOX 29,FARMINGDALE,NY,11735-0029,0000,04,3,3000,202210,2,00,000000000,1,01,202412,0,0,02,0,12,0,0,0,V24,MICHAEL GUAQUETA MBR
863329919,NATANIA B PARKER FOUNDATION INC,% NATANIA B PARKER,1339 JEFFERSON AVE,BUFFALO,NY,14208-1808,0000,03,3,1000,202109,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,B82,
863332760,MYANMAR IMPACT FUND,,441 CENTRAL PARK AVE UNIT 369,SCARSDALE,NY,10530-7726,0000,03,3,1000,202204,1,15,000000000,1,01,202412,1,1,02,0,12,2793,475,475,Q33,
863333472,LAST SHALL BE FIRST SCHOLARSHIPS INC,% DANIEL T OCONNOR,PO BOX 64887,ROCHESTER,NY,14624-7287,0000,03,3,1200,202108,1,04,000000000,1,01,202412,3,3,00,1,12,36986,73984,,B82,
863336498,KINGDOM ENCOUNTER MINISTRIES,,71 BLYDENBURGH RD,CENTEREACH,NY,11720-4315,0000,03,3,1000,202110,1,15,000000000,1,01,202412,3,4,01,0,12,55051,157618,157618,X20,
863339019,FRIENDS OF GCCS INC,% GLOBAL COMMUNITY CHARTER SCHOOL,2350 5TH AVE,NEW YORK,NY,10037-1101,0000,03,3,1000,202110,1,15,000000000,1,01,202406,8,6,01,0,06,22143185,1772198,331781,,
