EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
002022084,ST ROSALIAS ROMAN CATHOLIC CHURCH,,1230 65TH ST,BROOKLYN,NY,11219-5614,0928,03,9,1270,194603,1,10,001000000,5,01,,0,0,06,0,12,,,,,
002045409,GENERAL COUNCIL OF ASSEMBLIES OF GOD FULL GOSPEL TABERNACLE,,3210 SOUTHWESTERN BLVD,ORCHARD PARK,NY,14127-1229,1678,03,9,7000,196408,1,10,029002000,5,01,,0,0,06,0,08,,,,,
010263908,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,,136 WEST 22ND STREET,NEW YORK,NY,10011-2424,0000,03,3,2000,194707,1,11,046119030,1,01,202312,8,7,01,0,12,40623308,8908567,2214790,A250,
010284115,MAIN IDEA INC,% SARAH STERN TREASURER,180 EAST PROSPECT AVE 178,MAMARONECK,NY,10543-3709,0000,03,3,1200,196905,1,16,325059349,1,01,202312,6,5,01,0,12,1446139,583887,359718,,
010391592,MAINE JAZZ CAMP,,VAN BRUNT STATION BOX 150-597,BROOKLYN,NY,11215-0000,0000,03,3,1000,198809,1,16,149319000,1,01,202412,2,3,02,0,12,18014,33133,33133,B99Z,
010426275,ANDROSCOGGIN ALUMNI ASSOCIATION INC,% SKP LLP,601 WEST ST,HARRISON,NY,10528-2508,0000,03,3,1000,200609,1,15,000000000,1,01,202412,3,1,02,0,12,76373,9424,9424,B82,
010451903,ILLUMINATING ENGINEERING SOCIETY,% KATE SWEATER,85 BROAD ST FL 17,NEW YORK,NY,10004-2783,9246,03,9,2800,199102,0,16,000000000,0,01,202006,0,0,02,0,12,0,0,0,,PORTLAND MAINE SECTION
010518306,BLUE KNIGHTS MOTORCYCLE CLUB,% JENNIFER CONNOLLY PRESIDENT,164 VALLEY VIEW RD,AMSTERDAM,NY,12010-1700,9222,10,9,1000,198909,0,00,000000000,1,01,202312,0,0,02,0,12,0,0,0,,NY XXIII
010521096,SEA STROKES OF MAINE DECORATIVE PNT,% DELORES JOY,5955 DEPOT RD,ALTAMONT,NY,12009-4309,0000,06,3,2000,201501,0,00,000000000,5,01,202412,0,0,02,0,12,0,0,0,,
010548911,TSUNIS FAMILY FOUNDATION INC,% JOHN C TSUNIS,2929 EXPRESSWAY DRIVE NORTH 103,ISLANDIA,NY,11749-5302,0000,03,3,1000,200211,1,04,000000000,1,01,202312,4,1,00,1,12,217617,7049,,T22,
010549440,SOUTHWESTERN NY COUNCIL OF HIGHER DEGREES,% CHARLES FAGGIANO,57 STONECLIFF DR,ROCHESTER,NY,14616-3309,0002,08,9,1000,194005,2,00,036030382,1,01,202404,0,0,02,0,04,0,0,0,,
010550737,AMERICAN AMATEUR SAMBO FEDERATION INC,% J KOGAN,3111 OCEAN PKWY APT 7C,BROOKLYN,NY,11235-8441,0000,03,3,1000,200608,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,N70,
010551094,ADVOCATING FOR CHANGE,% CASSANDRA EDWARDS,6 SPRING VALLEY COMMONS RD,SPRING VALLEY,NY,10977-4275,0000,03,3,1000,201407,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,P99,
010551166,IMMANUEL CHRISTIAN FELLOWSHIP,% REV JACOB T CHERIAN,562 WINGATE DR,EAST MEADOW,NY,11554-5424,0000,03,3,7000,200210,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010552165,NEW CITY GATEWAY COMMUNITY INC,% STEVE ALEONG,8 ZOAR AVE,ALBANY,NY,12209-1424,0000,03,3,7000,200207,1,10,000000000,1,01,,4,3,06,0,12,,,,X21,
010553351,DANCING TIDES FOUNDATION INC,% JEFF WILKINS,1475 FRANKLIN AVE,GARDEN CITY,NY,11530-1662,0000,03,3,1000,200209,1,04,000000000,1,01,202412,8,7,00,1,12,20266982,5097484,,T22,ARNELL NATHAN E TTEE
010553426,INTERAGENCY COUNCIL GLEN COVE LTD,% CAROLYN WILSON,PO BOX 532,GLEN COVE,NY,11542-0532,0000,03,3,1000,200305,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,P99,
010553441,COMUNIDADE EVANGELICA VIDA PLENA,,330 126TH ST 2ND FLR,COLLEGE POINT,NY,11356-1230,1419,03,9,7000,195806,1,10,001000000,5,01,,0,0,06,0,12,,,,,
010555145,PENTECOSTAL CHURCH GOD IS REAL,,166 E 119TH ST APT 4B,NEW YORK,NY,10035-4032,0000,03,3,7000,200212,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,PENTELCOSTAL CHURCH
010556235,NEUHAUSER FAMILY FOUNDATION INC,% BERLACK ISRAELS AND LIBERMAN LLP,55 S PARKER DR,MONSEY,NY,10952-1512,0000,03,3,1000,200202,1,04,000000000,1,01,202312,6,6,00,1,12,2363616,2341440,,T90,
010556504,ONEIDA CITY SCHOOL DISTRICT FOUNDATION INC,% MICHAEL KALLET,317 MAIN ST,ONEIDA,NY,13421-2144,0000,03,3,2000,200206,1,16,000000000,1,01,202506,4,3,02,0,06,171692,26588,21412,T30,
010556730,LABOR ARTS INC,% EVELYN J RICH,25 BROADWAY 7TH FL,NEW YORK,NY,10004-1010,0000,03,3,1000,200211,1,15,000000000,1,01,202312,4,3,02,0,12,103661,41019,41019,B99,
010558975,MUSTARD SEED MINISTRIES,% JEAN HUBSCH,PO BOX 73,TYRONE,NY,14887-0073,0000,03,3,1000,200211,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,X99,
010559558,HUMAN GROWTH FOUNDATION,% ROSENBERG MICHAEL,821 CENTRAL AVE,WOODMERE,NY,11598-2640,0000,03,3,1000,200302,1,04,000000000,2,01,202312,4,4,00,1,12,364707,104876,,T22,
010560590,INNER ASIAN CONSERVATION INC,% YSL & ASSOCIATES,CO YSL AND ASSO 11 BROADWAY 700,NEW YORK,NY,10004-0000,0000,03,3,2000,200204,1,04,000000000,1,01,202401,3,1,00,3,01,30340,44,,C99,
010561195,FINGER LAKES BRONZE INC,% KATHY COURTNEY,110 MAPLE CT,NEWARK,NY,14513-1701,0000,03,3,1000,200203,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,A68,
010561862,BEIT HAMIQRA MISSION,,15402 41ST AVE,FLUSHING,NY,11354-5039,0000,03,3,7000,200805,1,10,000000000,1,01,,1,1,06,0,11,,,,X21,BIBLE HOME CHURCH
010562294,CONG BAIS MAYER VYESSHAYA,% RABBI ARON LOBL,5110 19TH AVE,BROOKLYN,NY,11204-1703,0000,03,3,7000,200206,1,10,000000000,1,01,,0,0,06,0,12,,,,X30,
010562418,ADIRONDACK CENTER FOR WRITING INC,% PAUL SMITHS COLLEGE,15 BROADWAY,SARANAC LAKE,NY,12983-1727,0000,03,3,1200,200202,1,15,000000000,1,01,202406,4,4,01,0,06,243486,392685,391580,A33,
010563346,SONS OF AMVETS SQUADRON 265,% DEAN WILSON,PO BOX 212,PARISHVILLE,NY,13672-0212,0838,19,9,1000,195402,0,00,907000000,5,01,202312,0,0,02,0,12,0,0,0,,NY 265
010563715,JOSEPH CINER FOUNDATIN INC,% LEONARD NATHANSON,885 SECOND AVENUE 3RD FLOOR,NEW YORK,NY,10017-2251,0000,03,3,1000,200202,1,04,000000000,1,01,202312,4,1,00,1,12,100032,9921,,T20,
010563945,MILLBROOK CENTRAL SCHOOL DISTRICT EDUCATIONAL FOUNDATION INC,% MILLBROOK CENTRAL SCHOOL DISTRICT,PO BOX 453,MILLBROOK,NY,12545-0453,0000,03,3,2000,200203,1,16,000000000,1,01,202312,4,4,01,0,12,308935,222607,192316,B11,
010563957,BOUNTIFUL RESOURCES FOUNDATION INC,% KEVIN CLAWSON,14 CHESHAM WAY,FAIRPORT,NY,14450-3808,0000,03,3,1000,200202,1,04,000000000,1,01,202312,4,3,00,1,12,408072,46133,,T22,
010564298,I AM MINISTRIES AKA GLORY INTERNATIONAL CHRISTIAN CENTER,% ROGERS & CO CPAS PC,70 PARKVIEW LOOP,STATEN ISLAND,NY,10314-1663,0000,03,3,7000,200307,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010564658,TUTUNJIAN FAMILY FOUNDATION,% JOHN P TUTUNJIAN,12 BLUFF RD,GLEN COVE,NY,11542-1762,0000,03,3,1000,200203,1,04,000000000,1,01,202412,3,1,00,1,12,91246,1982,,T22,
010565218,GLAMOURGALS FOUNDATION INC,% RACHEL DOYLE,505 E 79TH ST,NEW YORK,NY,10075-0709,0000,03,3,1000,200305,1,15,000000000,1,01,202406,6,6,01,0,06,1965994,2601534,963782,P50,
010565816,ERIC EVANS MEMORIAL CHARITABLE FUND INC,% KEITH CARLSON,1220 FERRY RD,NISKAYUNA,NY,12309-1502,0000,03,3,2000,201606,1,15,000000000,1,01,202406,0,0,02,0,06,0,0,0,B82,
010566111,SCHENECTADY COMMUNITY HOME INC,,PO BOX 2122,SCOTIA,NY,12302-0122,0000,03,3,1000,200205,1,15,000000000,1,01,202412,5,5,01,0,12,607135,548519,212799,L80,
010567018,ALLIANCE OF NEW YORK STATE YMCAS INC,% ROBERT CURLEY,33 ELK ST BSMT 2,ALBANY,NY,12207-1062,0000,04,3,3000,200211,2,00,000000000,1,01,202312,6,6,01,0,12,1205357,1088403,1088403,P012,
010567099,CHARLES AND VIVIAN SUKENIK PHILANTHROPIC FUND INC,% SUKENIK SEGAL AND GRAFF P C,11875 METROPOLITAN AVE,KEW GARDENS,NY,11415-2020,0000,03,3,1000,200203,1,04,000000000,1,01,202410,3,1,00,1,10,83317,8780,,T20,
010567303,IGLESIA EVANGELICA APOSTOLES Y PROFETAS,% JOSE CARCAMO,33 PONINGO ST,PORTCHESTER,NY,10573-4048,0000,03,3,1700,200804,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010567352,SEG FOUNDATION,% SAUL GEIGER,1746 50TH ST,BROOKLYN,NY,11204-1220,0000,03,3,1000,200208,1,04,000000000,2,01,202312,4,1,00,1,12,128565,3478,,T22,
010567810,PATRICIA E PHELAN AND JOSEPH W PHELAN FAMILY FOUNDATION INC,% GREGORY J ENGLUND,PO BOX 573,GERMANTOWN,NY,12526-0573,0000,03,3,1000,200310,1,04,000000000,1,01,202412,6,5,00,1,12,2654603,557484,,T22,
010567839,GREAT COMMISSION CHURCH,% DEVON BAILEY,618 WYONA ST,BROOKLYN,NY,11207-6413,0000,03,3,7000,200412,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010567853,EBENEZER CHARITIES INC,% ALFRED O FAYEMI,15 FRANCINE CT,WHITE PLAINS,NY,10607-1201,0000,03,3,1000,200306,1,15,000000000,1,01,202412,4,3,02,0,12,153398,49738,49738,P12,
010569335,VICTORY FAMILY WORSHIP CENTER APOSTOLIC,% NYARKO VICTOR TETTEH,4041 BAYCHESTER AVE,BRONX,NY,10466-2374,0000,03,3,7000,200304,1,10,000000000,1,01,202412,0,0,06,0,12,,,,X20,
010569965,HILLEL THE FOUNDATION FOR JEWISH CAMPUS LIFE,% NATALY WEISS,UNIVERSITY UNION WEST 208 B,BINGHAMTON,NY,13902-0000,3736,03,9,2700,199312,1,15,000000000,1,01,202406,4,5,01,0,06,348507,713635,713635,,BINGHAMTON UNIVERSITY HILLEL
010570609,CAMP SMILE FOUNDATION INC,% ANGELO ARCOLEO,PO BOX 1052,WEBSTER,NY,14580-7752,0000,03,3,1000,200210,1,17,000000000,1,01,202312,6,6,01,0,12,3937313,1561760,221046,T99,
010570709,BERKSHIRE SPUR CHINESE SHAR PEI CLUB INC,% NA,80 BARENT WINNE RD,SELKIRK,NY,12158-1502,0000,07,3,1000,200205,2,00,000000000,1,01,202407,0,0,02,0,07,0,0,0,D60,
010573144,JANIE BRENDEL & FRIENDS INC,% JANIE BRENDEL,104 E 7TH ST APT 5,NEW YORK CITY,NY,10009-6143,0000,03,3,1200,200208,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,A65,
010574277,CTA BUILDING CORPORATION,% WILLIAM MATEJKA,2070 JERICHO TURNPIKE,COMMACK,NY,11725-3017,0000,02,3,1000,200206,2,00,000000000,1,01,202406,4,3,01,0,06,339748,90011,90011,S47,
