EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
116046671,BLANCHE MEMORIAL CHURCH,,10974 SUTPHIN BLVD,JAMAICA,NY,11435-5700,0000,03,3,7000,196608,1,10,001000000,1,01,,0,0,06,0,09,,,,,
116046761,TEMPLE ISAIAH,,1404 STONY BROOK RD,STONY BROOK,NY,11790-2216,0000,03,3,7000,201504,1,10,001000000,1,01,201912,3,5,06,0,12,44586,628209,628209,X30,
116046903,COW NECK PENINSULA HISTORICAL SOCIETY,,336 PORT WASHINGTON BLVD,PRT WASHINGTN,NY,11050-4530,0000,03,3,2000,196602,1,16,059062060,5,01,202406,6,4,01,0,06,1058899,154011,154011,,
116046930,CALVARY BIBLE CHURCH,,7415 MYRTLE AVE,GLENDALE,NY,11385-7433,0000,03,3,7000,196603,1,10,001000000,1,01,,0,0,06,0,12,,,,,
116046932,GLEN COVE CHILD DAY CARE CENTER INC,,PO BOX 191,GLEN COVE,NY,11542-0191,0000,03,3,1200,196607,1,15,059000000,1,01,202407,5,6,01,0,07,924986,2698740,2698740,,
116047414,NEW YORK CITY DENTAL HYGIENISTS ASSOCIATION INC,,PO BOX 16041,ALBANY,NY,12212-6041,0000,06,2,2000,196604,2,00,205000000,1,01,202412,4,3,01,0,12,141534,67640,67640,,
116047418,NASSAU COUNTY MEDICAL CENTER AUXILIARY INC,% CLEMENTINE BIANCO,2201 HEMPSTEAD TPKE,EAST MEADOW,NY,11554-1859,0000,03,3,1000,196605,1,17,040150000,1,01,202505,4,3,01,0,05,195178,65184,65184,E22I,
116047440,SPRINGS IMPROVEMENT SOCIETY INC,,PO BOX 537,EAST HAMPTON,NY,11937-0994,0000,03,3,1200,196603,1,16,061040349,1,01,202409,4,3,01,0,09,332188,88962,82962,,
116047540,MICHAELS PHILANTHROPIC FOUNDATION,,1028 CHANNEL DR,HEWLETT,NY,11557-2617,0000,03,3,1000,196608,1,04,602000000,1,01,202404,6,6,00,1,04,1139260,1069843,,,
116047855,CHURCH OF THE SAVIOR OF BROOKLYN INC,,19 GUNTHER PL,BROOKLYN,NY,11233-3206,0000,03,3,7000,196604,1,10,001000000,1,01,,0,0,06,0,12,,,,,
116047858,TROLLEY MUSEUM OF NEW YORK,,89 E STRAND ST,KINGSTON,NY,12401-6001,0000,03,3,2000,196703,1,15,060000000,1,01,202312,0,0,02,0,12,0,0,0,,
116047860,CONRON CAMP FOUNDATION INC,% HOWARD SCHUBERT,16314 21ST RD,FLUSHING,NY,11357-4028,0000,03,3,2000,196604,1,04,325000000,1,01,202502,3,3,00,1,02,96355,44092,,,
116048099,BILL STIVALA SCHOLARSHIP FUND INC,% CAROLE RICHARDS,2 HARBOR PARK CT,CENTERPORT,NY,11721-1622,0000,03,3,2000,199810,1,09,040059000,1,01,202412,0,0,02,0,12,0,0,0,,
116048466,NEW CANAAN BAPTIST CHURCH,% PASTOR ROUTTE LUTHERAN CHURCH,16128 MATHIAS AVE,JAMAICA,NY,11433-3814,0000,03,3,7000,196604,1,10,059001000,1,01,,0,0,06,0,06,,,,,
116048468,MANHASSET STUDENT AID ASSOCIATION INC,,PO BOX 255,MANHASSET,NY,11030-0255,0000,03,3,2000,196606,1,15,059561040,1,01,202406,4,3,02,0,06,249243,38461,38461,B82Z,
116048777,SHIRLEY & WILLIAM R FLEISCHER FOUNDATION INC,,7 PENN PLZ STE 810,NEW YORK,NY,10001-0011,0000,03,3,1000,196705,1,04,602000000,1,01,202312,7,6,00,1,12,6099829,1259294,,,
116048940,ROYAL ARCH MASONS OF NEW YORK,% JOSEPH KONKLEWSKI,85 N MAIN ST,SAYVILLE,NY,11782-2509,0043,10,9,1000,197211,1,00,036000000,5,01,202412,0,0,02,0,12,0,0,0,,309 PENATAQUIT
116049028,UNITED SCHMILOWITZER BENEVOLENT SOCIETY INC,% STANLEY H JAKALOW,4 WILSON CT,SPRING VALLEY,NY,10977-1330,0000,04,3,3000,196609,2,00,900265000,1,02,202412,0,0,02,0,12,0,0,0,,
116049086,EAST HAMPTON TOWN POLICE BENEVOLENT ASSOCIATION,,PO BOX 1035,EAST HAMPTON,NY,11937-0901,0000,04,3,1000,196605,2,00,263265000,5,01,202312,6,4,01,0,12,1884169,321743,272444,I60I,
116049105,PTA NEW YORK CONGRESS,% LIZ OLIVA-KONG,500 MAY LN,EAST MEADOW,NY,11554-3614,1258,03,9,2000,000000,1,16,035000000,5,01,202406,2,4,01,0,06,20493,119514,44677,,10-215 BARNUM WOODS PTA
116049111,MANHASSET ISLE CIVIC ASSOCIATION INC,% MANHASSET ISLE CIVIC ASSOCIATION,1 SINTSINK DR W,PRT WASHINGTN,NY,11050-2015,0000,07,3,1000,196009,2,00,319000000,1,01,202403,0,0,02,0,03,0,0,0,,
116049114,SWEET ADELINES INTERNATIONAL,% MARYANNE FRIEDLANDER,29 BOBS LN,SETAUKET,NY,11733-3004,1321,03,9,2000,196507,1,16,119059000,5,02,202504,0,0,02,0,04,0,0,0,A6B0,1536 ISLAND HILLS CHAPTER
116049212,ASSOCIATED MUSIC TEACHERS LEAGUE INC,% MESCAL WILSON,2 SWEET BRIAR PATH,LAKE GROVE,NY,11755-1848,0000,03,3,1000,199805,1,15,200206229,1,01,202406,0,0,02,0,06,0,0,0,A20,
116049402,SONS & DAUGHTERS OF ZION PENTACOSTAL CHURCH OF THE APOSTOLI,,762 PUTNAM AVE,BROOKLYN,NY,11221-2108,0000,03,3,7000,196610,1,10,001000000,1,02,,0,0,06,0,12,,,,,
116049457,BAYSIDE HISTORICAL SOCIETY,% PESCOW,208 TOTTEN AVE FORT TOTTEN,BAYSIDE,NY,11359-0000,0000,03,3,2000,202002,1,16,059000000,1,01,202406,4,4,01,0,06,258445,427905,423928,E03,
116049463,NEW YORK STATE ASSOCIATION FOR COUNSELING & DEVELOPMENT INC,,5 UNIVERSITY PLACE A409,RENSSELAER,NY,12144-3425,0000,03,3,1200,197005,1,16,161180059,1,01,,1,0,00,0,06,,,,,
116049479,CONGREGATION BETH ABRAHAM,,1725 E 28TH ST,BROOKLYN,NY,11229-2512,0000,03,3,7000,196606,1,10,001000000,1,01,,0,0,06,0,12,,,,,
116061771,THE WOMEN FLYFISHERS CLUB INC,% CHRISTINE BORELLI,PO BOX 415,ROSCOE,NY,12776-0415,0000,07,3,1000,196010,2,00,298350281,1,01,202412,4,3,02,0,12,472534,42287,42287,,
116062331,WADING RIVER HISTORICAL SOCIETY INC,% STEPHANIE BAIL,300 NORTH COUNTRY ROAD,WADING RIVER,NY,11792-0000,0000,03,3,2000,195203,1,16,062000000,1,01,202407,0,0,02,0,07,0,0,0,,
116068107,FREE & ACCEPTED MASONS OF NEW YORK,% ROY PUCKHABER,45 ALTON AVE,GREENLAWN,NY,11740-2126,0265,10,9,1000,194012,1,00,279036000,5,01,202412,0,0,02,0,12,0,0,0,,545 COPERNICUS LODGE F&AM
116068391,PTA NEW YORK CONGRESS,% TINA CASTELLUZZO,320 FLETCHER AVE,VALLEY STREAM,NY,11580-3309,1258,03,9,2000,195405,1,16,059035000,5,01,202406,0,0,02,0,06,0,0,0,,10-274 CENTRAL MEMORIAL PTSA
116074351,BLAU WEISS GOTTSCHEE INC,,6483 82ND PL,MIDDLE VLG,NY,11379-2340,0000,03,3,1000,199805,1,15,995288349,1,01,202312,5,6,01,0,12,676830,1026884,1026884,N64,
116074588,AMERICAN LEGION POST 0281 MITCHELL,% MITCHELL POST 281,PO BOX 2021,SHELTER IS,NY,11964-2021,0925,19,9,1000,194603,0,00,907908000,5,01,202412,3,3,01,0,12,70809,87015,62618,,
116075951,MAIMONIDES BIBLICAL FOUNDATION INC,% YEHUDA ASSAF,1866 55TH ST,BROOKLYN,NY,11204-1901,0000,03,3,7000,196605,1,10,001000000,1,01,,0,0,07,0,12,,,,,
116075956,THE UNITED STATES PONY CLUBS INC,% CARRIEANN LINDSTADT LURKA,62 BOGART ST,HUNTINGTN STA,NY,11746-3457,3887,03,9,1200,200209,1,15,000000000,5,01,202412,0,0,02,0,12,0,0,0,N70,MEADOW BROOK HOUNDS PONY CLUB
116075963,BONNIE BOYS CLUB INC,% NORRIS P GORDON JR,593 CONEY ISLAND AVE,BROOKLYN,NY,11218-4304,0000,03,3,1000,199103,1,16,298000000,1,01,202312,3,4,01,0,12,96416,309000,282651,,
116075969,PTA NEW YORK CONGRESS,% JACKIE SCHRAMM,2852 FORTESQUE AVE,OCEANSIDE,NY,11572-2641,1258,03,9,2000,197003,1,16,035059000,5,01,202406,3,4,01,0,06,39214,118187,56239,,10-073 OAKS SCHOOL 3 PTA
116075970,NATHAN & MINNIE GOLDSTEIN FDN,,87 GRACE AVE,GREAT NECK,NY,11021-1438,0000,03,3,1000,196402,1,04,999000000,1,01,202408,3,1,00,1,08,54235,5,,,
116076043,DEFENDER HOSE COMPANY NO 1,% THOMAS NOFI,39 S CENTRE AVE,ROCKVILLE CTR,NY,11570-5717,0000,04,3,1000,201505,1,00,407000000,1,01,202503,0,0,02,0,03,0,0,0,M24,
116076069,CIVIL SERVICE EMPLOYEES ASSOCIATION,% ALISHA BUDD,143 WASHINGTON AVE,ALBANY,NY,12210-2303,1002,05,9,3000,197007,2,00,263264279,5,01,202409,0,0,02,0,09,0,0,0,,0102 LONG ISL INTR-COUNTY STATE PK
116076075,CIVIL SERVICE EMPLOYEES ASSOCIATION,% AJANI WILLIAMS,8045 WINCHESTER BLVD BLDG 72,QUEENS VLG,NY,11427-2129,1002,05,9,3000,196604,2,00,263000000,5,01,202409,4,4,01,0,09,209665,114775,114775,,0406 CREEDMOOR PSYCHIATRIC CENTER
116076082,CIVIL SERVICE EMPLOYEES ASSOCIATION,% ADAM RIDDICK,PO BOX 566,EAST SETAUKET,NY,11733-0566,1002,05,9,3000,197007,2,00,263264279,5,01,202409,3,4,01,0,09,58122,240452,240452,,0614 SUNY AT STONY BROOK
116076086,CIVIL SERVICE EMPLOYEES ASSOCIATION,% KATHY ROMAIN,PO BOX 14232,HAUPPAUGE,NY,11788-0408,1002,05,9,3000,196604,2,00,263000000,5,01,202409,0,0,02,0,09,0,0,0,,0418 PILGRIM PSYCHIATRIC CENTER
116076275,PATCHOGUE HEBREW CEMETERY ASSOCIATION,% JEFF FUCHS,PO BOX 293,PATCHOGUE,NY,11772-0293,0000,13,3,1000,196811,1,00,998000000,1,01,202412,0,0,02,0,12,0,0,0,,
116076455,PORT JEFFERSON VOLUNTEER FIREMENS BENEVOLENT ASSOCIATION INC,,115 MAPLE PL,PRT JEFFERSON,NY,11777-1632,0000,03,3,1000,199105,1,15,407264265,1,01,202412,6,4,01,0,12,1062716,107646,107646,M24Z,
116076710,GERRITTSEN BEACH FIRE VOLUNTEERS INC,,52 SEBA AVE,BROOKLYN,NY,11229-6310,0000,03,3,1000,199105,1,15,158000000,1,01,202312,3,4,01,0,12,56963,280167,280167,M24Z,
116076743,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF NORTH AMERICA,% LOUIS NICOSIA,246 CONKLIN ST STE 2,FARMINGDALE,NY,11735-2657,0488,05,9,3000,196603,2,00,263264279,5,01,202312,4,4,01,0,12,416545,191079,191079,,406-C NASSAU COUNTY NY
116076754,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% LYNN RYAN,PO BOX 1278,WAINSCOTT,NY,11975-1278,0239,04,9,3000,196603,2,00,999000000,5,01,202406,0,0,02,0,06,0,0,0,,8551 EAST HAMPTON NEW YORK
116076769,ROCKY POINT LIONS CLUB INC,% CULLEN & DANOWSKI LLP,1650 ROUTE 112,PORT JEFF STA,NY,11776-3060,0000,03,3,1000,201408,1,15,999000000,1,01,202406,1,2,02,0,06,8399,17825,12295,P20,
